date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2014-04-27,sz300293,18.45,18.75,17.36,18.04,-0.04246222533995103,5476901.0,98722391.94000001,811800000.0,3247200000.0,0.12170891111111111,54.941628,2013-09-30,2013-10-28,31.619753000000003,3.905494,-6.367113,4.911201999999999,11.466977
2014-05-04,sz300293,17.55,17.57,16.02,16.95,-0.060421450250689124,3540454.0,59435903.440000005,762750000.0,3051000000.0,0.07867675555555556,51.621975,2014-03-31,2014-04-26,34.232826,4.313753,-43.606196000000004,4.682505,10.774125
2014-05-11,sz300293,16.85,17.49,16.4,16.69,-0.015338544413504684,5986337.0,101537356.96000001,751050000.0,3004200000.0,0.13302971111111112,50.830169,2014-03-31,2014-04-26,33.707745,4.247586,-42.93734,4.610683,10.608866
2014-05-18,sz300293,16.85,17.28,16.4,16.64,-0.00299643628987456,4309702.0,72834975.18,748800000.0,2995200000.0,0.09577115555555556,50.677859999999995,2014-03-31,2014-04-26,33.606741,4.234858999999999,-42.808681,4.596867,10.577077000000001
2014-05-25,sz300293,16.5,17.38,16.4,17.36,0.04326859716061482,6289563.0,106723776.07999998,781200000.0,3124800000.0,0.13976806666666666,52.870619,2014-03-31,2014-04-26,35.060858,4.418095,-44.660953000000006,4.795767,11.034733000000001
2014-06-01,sz300293,17.46,18.4,17.24,18.05,0.039744922493679447,13428907.0,241713333.44000003,812250000.0,3249000000.0,0.29842015555555557,54.971957999999994,2014-03-31,2014-04-26,36.454349,4.593692,-46.435999,4.986374,11.473307
2014-06-08,sz300293,18.11,19.24,17.63,18.78,0.04044385678094731,9390736.0,172998044.39999998,845100000.0,3380400000.0,0.2086830222222222,57.195236,2014-03-31,2014-04-26,37.928703999999996,4.779479,-48.31405,5.188042,11.937332000000001
2014-06-15,sz300293,18.64,19.58,18.2,19.29,0.02715640592446622,13684082.0,260716146.91000003,868050000.0,3472200000.0,0.30409071111111113,58.748453000000005,2014-03-31,2014-04-26,38.958711,4.9092720000000005,-49.626086,5.328931,12.261507
2014-06-22,sz300293,19.5,20.0,17.65,18.14,-0.059615661387348196,10337284.0,196145503.23000002,816300000.0,3265200000.0,0.22971742222222222,55.246125,2014-03-31,2014-04-26,36.636162,4.616603,-46.667594,5.011243,11.530529
2014-06-29,sz300293,18.27,19.75,18.19,19.53,0.07662598176516422,10051856.0,192400256.62,878850000.0,3515400000.0,0.22337457777777778,59.479414,2014-03-31,2014-04-26,39.443443,4.970354,-50.243544,5.395235,12.414067
2014-07-06,sz300293,19.5,20.15,19.25,19.91,0.019457801277882103,11688923.0,229949906.74,895950000.0,3583800000.0,0.25975384444444444,60.636753000000006,2014-03-31,2014-04-26,40.210926,5.0670660000000005,-51.221173,5.500214,12.655617999999999
2014-07-13,sz300293,20.01,20.12,18.8,18.96,-0.04771453377110291,9394175.0,183214027.02999997,853200000.0,3412800000.0,0.20875944444444444,57.743497999999995,2014-03-31,2014-04-26,38.29228,4.825294,-48.777178,5.237774,12.051761
2014-07-20,sz300293,19.02,19.24,18.2,18.41,-0.029008312067735353,6053690.0,112556172.05,828450000.0,3313800000.0,0.13452644444444445,56.068456999999995,2014-03-31,2014-04-26,37.181486,4.68532,-47.362235,5.085834999999999,11.702160000000001
2014-07-27,sz300293,18.54,18.62,17.15,17.56,-0.046170257368300605,5488439.0,98209522.44999999,790200000.0,3160800000.0,0.12196531111111111,53.479762,2014-03-31,2014-04-26,35.464807,4.468998,-45.175508,4.851021,11.161868
2014-08-03,sz300293,17.69,18.41,17.62,18.04,0.027334826994112493,5436553.0,98428844.44,811800000.0,3247200000.0,0.12081228888888888,54.941621999999995,2014-03-31,2014-04-26,36.434232,4.591157,-46.410373,4.983623000000001,11.466975999999999
2014-08-10,sz300293,17.99,19.15,17.91,18.9,0.04767228074872154,9408434.0,176188851.37,850500000.0,3402000000.0,0.2090763111111111,57.560814,2014-03-31,2014-04-26,38.171135,4.810028,-48.622861,5.221203,12.013632000000001
2014-08-17,sz300293,18.9,19.99,12.9,13.27,0.058465246472175325,16123823.0,279347811.43999994,895725000.0,3582900000.0,0.23887145185185185,60.926120999999995,2014-03-31,2014-04-26,40.402819,5.091247,-51.465609,5.526462,12.716012
2014-08-24,sz300293,13.3,14.49,13.14,14.36,0.08214064307569635,36648954.0,511135773.22,969300000.0,3877200000.0,0.5429474666666667,65.93063199999999,2014-03-31,2014-04-26,43.721533,5.509446,-55.693027,5.980409,13.760514
2014-08-31,sz300293,14.3,14.33,13.52,13.81,-0.038300184099991696,17028055.0,235338730.98999998,932175000.0,3728700000.0,0.2522674814814815,63.405477000000005,2014-06-30,2014-08-26,26.868136,3.433045,-36.053976,3.426882,13.233483999999999
2014-09-07,sz300293,13.82,16.28,13.81,16.08,0.16437464669346324,48990193.0,754641752.6700001,1085400000.0,4341600000.0,0.725780637037037,73.82773,2014-06-30,2014-08-26,31.284576,3.99735,-41.980336,3.990175,15.408732999999998
2014-09-14,sz300293,16.12,16.49,15.51,15.95,-0.008084622477917414,23176517.0,368354420.41,1076625000.0,4306500000.0,0.3433558074074074,73.23085999999999,2014-06-30,2014-08-26,31.031652,3.965033,-41.640941,3.9579160000000004,15.284158999999999
2014-09-21,sz300293,15.95,16.79,15.15,15.78,-0.010658462070567087,30564002.0,490389497.24999994,1065150000.0,4260600000.0,0.4528000296296296,72.45033199999999,2014-06-30,2014-08-26,30.700903000000004,3.922772,-41.197112,3.9157309999999996,15.121253
2014-09-28,sz300293,15.73,16.6,15.35,16.27,0.031051601929126926,25238345.0,402702065.02,1098225000.0,4392900000.0,0.3739014074074074,74.70003100000001,2014-06-30,2014-08-26,31.654215,4.044581,-42.476349,4.037319999999999,15.590793
2014-10-05,sz300293,16.45,16.45,16.08,16.26,-0.0006139346080000774,8102528.0,131379273.45,1097550000.0,4390200000.0,0.12003745185185186,74.65417,2014-06-30,2014-08-26,31.634781,4.042098,-42.450271,4.034842,15.581221
2014-10-12,sz300293,16.18,17.0,16.02,16.57,0.019064846613999764,18742282.0,310634819.98,1118475000.0,4473900000.0,0.27766343703703705,76.07744,2014-06-30,2014-08-26,32.237893,4.119159,-43.259578999999995,4.111765,15.878274
2014-10-19,sz300293,16.4,16.48,14.63,15.12,-0.08750757557821498,22007849.0,344554420.18999994,1020600000.0,4082400000.0,0.3260422074074074,69.420088,2014-06-30,2014-08-26,29.416834,3.7587019999999995,-39.474038,3.751955,14.488805
2014-10-26,sz300293,15.19,15.56,14.36,14.56,-0.0370381906119408,11131007.0,166985843.51999998,982800000.0,3931200000.0,0.1649038074074074,66.848893,2014-06-30,2014-08-26,28.327287,3.619486,-38.011990999999995,3.612989,13.952166
2014-11-02,sz300293,14.66,15.74,14.43,15.11,0.03777601791387619,13209795.0,201472921.55,1019925000.0,4079700000.0,0.19570066666666666,69.374178,2014-09-30,2014-10-27,43.924966,5.59874,348.961031,5.544808,14.479223000000001
2014-11-09,sz300293,15.0,18.26,14.97,17.3,0.1449368468742498,62056780.0,1076084704.22,1167750000.0,4671000000.0,0.9193597037037037,79.429053,2014-09-30,2014-10-27,50.291312,6.410203,399.538342,6.348455,16.577796
2014-11-16,sz300293,17.26,17.44,15.62,15.79,-0.08728289215456564,29056103.0,477713544.62,1065825000.0,4263300000.0,0.43046078518518516,72.496256,2014-09-30,2014-10-27,45.901740999999994,5.850702,364.66548,5.794344000000001,15.130838
2014-11-23,sz300293,15.75,17.51,15.73,17.05,0.07979719018381104,21415139.0,354544316.44,1150875000.0,4603500000.0,0.3172613185185185,78.281253,2014-09-30,2014-10-27,49.564571,6.317572,393.76476099999996,6.256716,16.338237
2014-11-30,sz300293,17.08,24.2,16.71,23.03,0.35073263615979866,95134770.0,2102667456.8000002,1554525000.0,6218100000.0,1.409404,105.737043,2014-09-30,2014-10-27,66.948484,8.53335,531.870914,8.451151,22.068589000000003
2014-12-07,sz300293,22.87,22.87,19.8,20.17,-0.12418671853582774,84648350.0,1835569393.2400002,1361475000.0,5445900000.0,1.2540496296296297,92.605907,2014-09-30,2014-10-27,58.634370999999994,7.473622,465.81960999999995,7.40163,19.327964
2014-12-14,sz300293,20.2,21.94,18.6,21.01,0.04164583702246749,55405436.0,1128510238.04,1418175000.0,5672700000.0,0.8208212740740741,96.46255699999999,2014-09-30,2014-10-27,61.076249,7.784867,485.219058,7.7098770000000005,20.132893
2014-12-21,sz300293,20.62,24.5,20.44,20.86,-0.0071398230323191925,69144972.0,1536232218.1999998,1408050000.0,5632200000.0,1.0243699555555557,95.773832,2014-09-30,2014-10-27,60.640175,7.729284,481.754679,7.6548300000000005,19.989148
2014-12-28,sz300293,20.5,20.97,19.0,20.46,-0.019174742786023047,29442436.0,592494167.19,1381050000.0,5524200000.0,0.436184237037037,93.937393,2014-09-30,2014-10-27,59.477415,7.5810770000000005,472.51715700000005,7.50805,19.605860999999997
2015-01-04,sz300293,20.5,20.55,18.5,19.03,-0.0698926411512597,15357267.0,297065408.27,1284525000.0,5138100000.0,0.22751506666666665,87.371861,2014-09-30,2014-10-27,55.320381999999995,7.051216,439.49168499999996,6.983292999999999,18.235556
